1,4.601,0.034,0.035,0.035,
2,4.646,0.038,0.039,0.039,
3,4.673,0.044,0.045,0.046,
4,4.681,0.048,0.049,0.051,
5,11.298,0.088,0.091,0.091,
6,11.326,0.092,0.095,0.095,
7,11.362,0.096,0.099,0.099,
8,11.394,0.1,0.102,0.103,
9,11.435,0.104,0.106,0.107,
10,11.506,0.108,0.11,0.112,
11,11.558,0.112,0.114,0.117,
12,11.66,0.116,0.118,0.121,
13,11.686,0.12,0.121,0.125,
14,11.705,0.124,0.125,0.129,
15,16.511,0.159,0.161,0.168,
16,16.54,0.163,0.165,0.172,
17,16.609,0.167,0.169,0.176,
18,16.65,0.171,0.173,0.18,
19,16.682,0.175,0.177,0.185,
20,25.5,0.257,0.258,0.264,
21,31.858,0.316,0.317,0.331,
22,31.935,0.321,0.321,0.335,
23,31.978,0.325,0.325,0.338,
24,32.017,0.33,0.329,0.341,
25,32.051,0.335,0.334,0.346,
26,37.784,0.399,0.382,0.41,
27,44.79,0.466,0.446,0.477,
28,51.682,0.532,0.509,0.54,
29,61.242,0.633,0.595,0.633,
30,68.249,0.712,0.654,0.704,
31,77.704,0.817,0.731,0.8,
32,84.697,0.887,0.799,0.872,
33,90.563,0.943,0.856,0.928,
34,99.115,1.024,0.932,1.008,
35,105.261,1.081,0.986,1.061,
36,113.911,1.174,1.066,3601.061,
37,120.297,1.216,1.105,3601.104,
38,127.077,1.249,1.171,3601.138,
39,135.755,1.319,1.253,3601.21,
40,144.168,1.414,1.336,3601.282,
41,153.039,1.478,1.413,3601.349,
42,161.648,1.543,1.513,3601.425,
43,171.192,1.648,1.599,7201.425,
44,181.158,1.754,1.692,7201.506,
45,189.674,1.847,1.778,7201.578,
46,197.861,1.942,1.861,7201.653,
47,206.441,2.011,1.938,7201.73,
48,215.953,2.086,3601.938,7201.81,
49,225.09,2.16,7201.938,7201.885,
50,225.207,2.164,7201.942,7201.888,
51,225.216,2.172,7201.95,7201.895,
52,225.552,2.177,7201.954,7201.899,
53,226.291,2.184,7201.96,7201.905,
54,227.529,2.192,7201.966,7201.912,
55,227.69,2.197,7201.97,7201.915,
56,228.762,2.205,7201.976,7201.922,
57,228.766,2.209,7201.98,7201.925,
58,229.639,2.217,7201.987,7201.932,
59,229.642,2.222,7201.991,7201.936,
60,229.969,2.227,7201.995,7201.94,
61,230.229,2.232,7201.999,7201.945,
62,230.25,2.239,7202.004,7201.951,
63,230.254,2.245,7202.008,7201.955,
